wpid,wpdobstr,wpdob
1173624,"January 1, 1942",1942-01-01
20806009,"November 17, 1955",1955-11-17
31498217,"December 16, 1953",1953-12-16
65703813,"December 26, 1968",1968-12-26
67047905,"June 17, 1959",1959-06-17
67121340,1955/56,
70597171,"April 26, 1949",1949-04-26
