@@,item,itemlabel,startdate,enddate
+++,Q60694641,Aboudramane Sangaré,2000,2003
->,Q2640305,Alcide Djédjé,2000->2010,2003->2011
->,Q3288607,Marcel Amon-Tanoh,2016-11-26,2020-03-19->2021
---,Q2838739,Ally Coulibaly,2020-03-19,2021-04-06
