item,itemLabel,startDate,endDate,sourceDate,psid
Q454785,Amara Essy,1990,2000,,Q454785-862FCCBE-618E-4F87-9AA0-F9689ED67490
Q108344978,Christophe M'Boua,2000,2000,,Q108344978-EEC58C49-E69B-4BAD-BF0B-86DC59B2AAF3
Q71437989,Charles Gomis,2000-03,2000-10,,Q71437989-f18fd404-4c76-379f-f5bb-fcacc44add88
Q60694641,Aboudramane Sangaré,2000-10,2003-03,,Q60694641-0D1FBBE9-4CC0-4017-BC0C-05C5DE190285
Q4853306,Bamba Mamadou,2003,2006,,Q4853306-9D3DEAD9-B8ED-4932-BC75-89EA0DE583D4
Q58258,Youssouf Bakayoko,2006,2010,,Q58258-8B0F1828-3B0C-4210-A835-FDCEA8ECDC70
Q108344980,Jean-Marie Kacou Gervais,2010,2011,,Q108344980-951E9083-D905-4BBF-9916-69E7A984990B
Q2640305,Alcide Djédjé,2010-12-07,2011-04-11,,Q2640305-5846D336-8E07-4BE3-A1E5-0F4ABD1ABF46
Q58154,Daniel Kablan Duncan,2011-06-01,2012-11-21,,Q58154-BCF9603A-F8C6-48FD-8212-06215A66C4F2
Q2959525,Charles Koffi Diby,2012-11-21,2016-01-13,,Q2959525-3655CE6C-F010-4206-8EE8-805DF95E349E
Q1304104,Albert Toikeusse Mabri,2016-01-13,2016-11-25,2022-10-20,Q1304104-CEEBAAE6-A8C0-4356-8602-4D6BF1342962
Q3288607,Marcel Amon-Tanoh,2016-11-26,2020-03-19,,Q3288607-8A913726-8513-439B-AF20-B5B936BABDA0
Q2838739,Ally Coulibaly,2020-03-19,2021-04-06,,Q2838739-bae71133-4788-d91c-5c7f-9d4cb449b2ca
Q3192595,Kandia Camara,2021-04-06,,,Q3192595-66EEC9A8-6862-4291-8057-D6D852E27EF4
