item,itemLabel,position,positionLabel,startDate,endDate,source,psid
Q100980938,Bertin Kouadio Konan,Q114787383,Ministre de la Réconciliation et de la cohésion nationale,2020-12-15,,https://fr.wikipedia.org/wiki/Gouvernement_Achi_II,Q100980938-9C152590-2431-49EC-BF7B-725BFC4AB7CB
Q104437318,Laurent Tchagba,Q114787387,Ministre des Eaux et Forêts,2022-04-20,,https://fr.wikipedia.org/wiki/Gouvernement_Achi_II,Q104437318-C6C3313A-5B4B-4688-A177-CE16C1D9D82A
Q105833518,Téné Birahima Ouattara,Q114777073,Ministre de la Défense,2021-03-08,,https://fr.wikipedia.org/wiki/Gouvernement_Achi_II,Q105833518-CEC56A54-FFAF-47E5-ADA0-7147DB5D7C55
Q106777843,Adama Kamara,Q114787374,Ministre de l’Emploi et de la Protection sociale,2021-04-06,,https://fr.wikipedia.org/wiki/Gouvernement_Achi_II,Q106777843-B1E229C4-AAEF-4F68-9988-1CB954C372B8
Q107266901,Nassénéba Touré,Q114787389,"Ministre de la Femme, de la Famille et de l’Enfant",2021-04-06,,https://fr.wikipedia.org/wiki/Gouvernement_Achi_II,Q107266901-EECF77B9-DDA2-42C5-AE12-F9901CDBF33D
Q107466615,Myss Belmonde Dogo,Q114787384,Ministre de la Solidarité et de la Lutte contre la Pauvreté,2021-04-06,,https://fr.wikipedia.org/wiki/Gouvernement_Achi_II,Q107466615-EC1D4995-F696-4040-9A96-E409956A47D0
Q108752418,Amédé Koffi Kouakou,Q114787375,Ministre de l’Équipement et de l’Entretien routier,2017-01,,https://fr.wikipedia.org/wiki/Gouvernement_Achi_II,Q108752418-CFF9B56A-4391-4E0A-9ED6-3CD2C97C8B4D
Q111901694,Vagondo Diomandé,Q114777330,Ministre de l'Intérieur et de la Sécurité,2019-09-04,,https://fr.wikipedia.org/wiki/Gouvernement_Achi_II,Q111901694-D6B3C1D4-27E7-4B73-B19C-85639234F40F
Q112947515,Siandou Fofana,Q114777325,Ministre du Tourisme,2017-01-13,,https://fr.wikipedia.org/wiki/Gouvernement_Achi_II,Q112947515-CA81A784-A3B9-415C-8E28-6DA8C2ED7CD4
Q112948561,Adama Diawara,Q114777323,Ministre de l’Enseignement supérieur et de la Recherche scientifique,2020-05-13,,https://fr.wikipedia.org/wiki/Gouvernement_Achi_II,Q112948561-7005A509-3139-4E6A-8D02-84F36ABFDE2D
Q113488775,Françoise Remarck,Q79897138,Ministre de la Culture et de la Francophonie,2022-04-20,,https://fr.wikipedia.org/wiki/Gouvernement_Achi_II,Q113488775-64DEE8FE-9BFB-4A70-96B1-05EA36F6463E
Q113528137,Jean-Luc Assi,Q114777332,Ministre de l’Environnement et du Développement durable,2021-04-06,,https://fr.wikipedia.org/wiki/Gouvernement_Achi_II,Q113528137-214E1507-6C8F-450D-9333-A1976DE3095A
Q113680500,Souleymane Diarrassouba,Q114787372,"Ministre du Commerce, de l'Industrie et de la Promotion des PME",2017-01-11,,https://fr.wikipedia.org/wiki/Gouvernement_Achi_II,Q113680500-95304bb1-4589-d023-6962-d5910ab988a5
