downcased,clean
Amadou Coulibaly,Amadou Coulibaly
Koffi N'Guessan,Koffi N'Guessan
Laurent Tchagba,Laurent Tchagba
Moussa Sanogo,Moussa Sanogo
Pierre Dimba,Pierre Dimba
