source,id,create
"Garde des Sceaux, Ministre de la Justice et des Droits de l’Homme",Q114787380,Minister of Justice and Human Rights
Ministre de l'Agriculture et du Développement rural,Q114777316,Minister of Agriculture and Rural Development
"Ministre de l'Hydraulique, l’Assainissement et de la Salubrité",Q114787379,Minister of Hydraulics
Ministre de l'Intérieur et de la Sécurité,Q114777330,Minister of the Interior and Security
Ministre de l'Éducation nationale et de l'alphabétisation,Q26959537,Minister of Education and Literacy
"Ministre de la Communication et de l'Economie Numérique, Porte-parole du Gouvernement",Q114787373,Minister of Communication and Digital Economy
Ministre de la Culture et de la Francophonie,Q79897138,Minister of Culture
"Ministre de la Femme, de la Famille et de l’Enfant",Q114787389,"Minister of Women, Family and Children"
Ministre de la Fonction publique,Q114787327,Minister of Public Service
"Ministre de la Promotion de la jeunesse et de l’Emploi des jeunes, de l'insertion professionnelle et du service civique, Porte-parole adjoint du Gouvernement",Q114787390,Minister of Youth
Ministre de la Réconciliation et de la cohésion nationale,Q114787383,Minister of Reconciliation and National Cohesion
"Ministre de la Santé, de l'Hygiène publique et de la couverture maladie universelle",Q114777321,Minister of Health
Ministre de la Solidarité et de la Lutte contre la Pauvreté,Q114787384,Minister of Solidarity and the Fight against Poverty
Ministre de la promotion de la bonne Gouvernance et de la lutte contre la corruption,Q114787378,Minister of Good Governance and the Fight against Corruption
Ministre de l’Emploi et de la Protection sociale,Q114787374,Minister of Employment and Social Protection
Ministre de l’Enseignement supérieur et de la Recherche scientifique,Q114777323,Minister of Higher Education and Scientific Research
Ministre de l’Enseignement technique et de la Formation professionnelle et de l'apprentissage,Q114787386,Minister of Technical Education and Vocational Training and Learning
Ministre de l’Environnement et du Développement durable,Q114777332,Minister of the Environment
Ministre de l’Équipement et de l’Entretien routier,Q114787375,Minister of Equipment and Road Maintenance
Ministre des Eaux et Forêts,Q114787387,Minister of Water and Forests
"Ministre des Mines, du Pétrole et de l'Énergie",Q114787381,"Minister of Mines, Oil and Energy"
Ministre des Sports,Q114787385,Minister of Sports
Ministre des Transports,Q114777329,Minister of Transport
Ministre des ressources animales et halieutiques,Q114787369,Minister of Animal and Fisheries Resources
Ministre du Budget et du Portefeuille de l’État,Q114787371,Minister of Budget
"Ministre du Commerce, de l'Industrie et de la Promotion des PME",Q114787372,"Minister of Commerce, Industry and the Promotion of SMEs"
Ministre du Tourisme,Q114777325,Minister of Tourism
