item,itemLabel,position,positionLabel,startDate,endDate
Q57413,Alassane Ouattara,,Président de la République,2022-04-20,
Q19392607,Tiémoko Meyliet Koné,,Vice-président de la République,2022-04-20,
Q3369176,Patrick Achi,,Premier ministre,2022-04-20,
Q3192595,Kandia Camara,,"Ministre des Affaires étrangères, de l'intégration africaine et de la Diaspora",2022-04-20,
Q105833518,Téné Birahima Ouattara,,Ministre de la Défense,2022-04-20,
Q59867225,Kobenan Kouassi Adjoumani,,Ministre de l'Agriculture et du Développement rural,2022-04-20,
Q90018658,Sansan Kambilé,,"Garde des Sceaux, Ministre de la Justice et des Droits de l’Homme",2022-04-20,
Q111901694,Vagondo Diomandé,,Ministre de l'Intérieur et de la Sécurité,2022-04-20,
Q22085045,Kaba Nialé,,Ministre du Plan et du Développement,2022-04-20,
Q3472182,Mamadou Sangafowa Coulibaly,,"Ministre des Mines, du Pétrole et de l'Énergie",2022-04-20,
Q30728030,Anne Désirée Ouloto,,Ministre de la Fonction publique,2022-04-20,
Q60832327,Amadou Koné,,Ministre des Transports,2022-04-20,
Q2824041,Adama Coulibaly,,Ministre de l'Économie et des Finances,2022-04-20,
,Moussa Sanogo,,Ministre du Budget et du Portefeuille de l’État,2022-04-20,
,Laurent Tchagba,,Ministre des Eaux et Forêts,2022-04-20,
Q108752418,Amédé Koffi Kouakou,,Ministre de l’Équipement et de l’Entretien routier,2022-04-20,
Q24056959,Mariatou Koné,,Ministre de l'Éducation nationale et de l'alphabétisation,2022-04-20,
Q113680500,Souleymane Diarrassouba,,"Ministre du Commerce, de l'Industrie et de la Promotion des PME",2022-04-20,
Q100980938,Bertin Kouadio Konan,,Ministre de la Réconciliation et de la cohésion nationale,2022-04-20,
Q56308663,Claude Paulin Danho,,Ministre des Sports,2022-04-20,
Q21280596,Sidi Tiémoko Touré,,Ministre des ressources animales et halieutiques,2022-04-20,
,Amadou Coulibaly,,"Ministre de la Communication et de l'Economie Numérique, Porte-parole du Gouvernement",2022-04-20,
Q41675123,Mamadou Touré,,"Ministre de la Promotion de la jeunesse et de l’Emploi des jeunes, de l'insertion professionnelle et du service civique, Porte-parole adjoint du Gouvernement",2022-04-20,
Q112947515,Siandou Fofana,,Ministre du Tourisme,2022-04-20,
Q112948561,Adama Diawara,,Ministre de l’Enseignement supérieur et de la Recherche scientifique,2022-04-20,
,Pierre Dimba,,"Ministre de la Santé, de l'Hygiène publique et de la couverture maladie universelle",2022-04-20,
Q62566689,Bouaké Fofana,,"Ministre de l'Hydraulique, l’Assainissement et de la Salubrité",2022-04-20,
Q113835506,Epiphane Zoro Bi Ballo,,Ministre de la promotion de la bonne Gouvernance et de la lutte contre la corruption,2022-04-20,
Q107466615,Myss Belmonde Dogo,,Ministre de la Solidarité et de la Lutte contre la Pauvreté,2022-04-20,
Q106777843,Adama Kamara,,Ministre de l’Emploi et de la Protection sociale,2022-04-20,
Q107266901,Nassénéba Touré,,"Ministre de la Femme, de la Famille et de l’Enfant",2022-04-20,
,Koffi N'Guessan,,Ministre de l’Enseignement technique et de la Formation professionnelle et de l'apprentissage,2022-04-20,
Q113488775,Françoise Remarck,,Ministre de la Culture et de la Francophonie,2022-04-20,
Q113528137,Jean-Luc Assi,,Ministre de l’Environnement et du Développement durable,2022-04-20,
