who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
67121340,,,,,,,,,0
67121340,,Minister of Defense of Ivory Coast,8 March 2021 (Acting until 6 April 2021),,Q3126401,Hamed Bakayoko,,Incumbent,1
67121340,,Minister of Presidential Affairs,2012,2019,,Hamed Bakayoko,,Incumbent,2
