who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
65703813,Democratic Party of Ivory Coast,Youth President of the Democratic Party of Ivory Coast,2003,2013,,,,,0
65703813,Democratic Party of Ivory Coast,Member of the Political Bureau of the Democratic Party of Ivory Coast,2003-05-29,,,,,,1
65703813,National Assembly (Ivory Coast),Member of the National Assembly (Ivory Coast) for Port-Bouët,2011-12-11,2016-12-18,,,,,2
65703813,Port-Bouët,Member of the National Assembly (Ivory Coast) for Port-Bouët,2011-12-11,2016-12-18,,,,,3
