who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
1173624,President of Ivory Coast,5th President of Ivory Coast,2010-12-04,,Q179242,Laurent Gbagbo,,,0
1173624,List of heads of government of Ivory Coast,Prime Minister of the Ivory Coast,1990-11-07,1993-12-09,Félix Houphouët-Boigny,Félix Houphouët-Boigny,Q58154,Daniel Kablan Duncan,1
1173624,Q97933077,Minister of the Economy and Finance of the Ivory Coast,1990-10,1993-11,,,,,2
1173624,International Monetary Fund,Deputy Director General of the International Monetary Fund,1994,1999,,,,,3
1173624,Central Bank of West African States,Governor of the Central Bank of West African States,1988-12,1990-11,,,,,4
