who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
68546615,,Ivorian Minister of Animal and Fisheries Resources,2021-04-06,,,Dosso Moussa,,,0
68546615,,Ivorian Minister of Communication and Media Government spokesperson,2018-07-10,2021-04-06,,Bruno Koné,,,1
68546615,,"Minister of Youth Promotion, Youth Employment and Civic Service",2016-01-12,2018-07-04,,,Mamadou Touré,Mamadou Touré,2
68546615,,"Minister Delegate to the President of the Republic, in charge of Youth Promotion and Youth Employment",2015-05-13,2016-01-06,,Alain Lobognon,,,3
