@@,item,itemlabel,startdate,enddate
->,Q1394077,Seydou Diarra,2000-05-18,2000-10-18->2000-10-27
+++,Q313994,Guillaume Soro,2007-04-04,2012-03-13
+++,Q971859,Gilbert Aké,2010-12-06,2011-04-11
->,Q3126401,Hamed Bakayoko,2020-07-30->2020-07-08,2021-03-08
+++,Q3369176,Patrick Achi,2021-03-08,
