item,itemLabel,rank,pob,pobLabel,hasCountry,hasAdmin,hasref,refitem,exurl,wmurl,wmproj
Q100980938,Kouadio Konan Bertin,NormalRank,Q3216495,Lakota Department,true,true,true,false,false,true,true
Q101584179,Fidèle Sarassoro,,,,,,false,,,,
Q104437318,Laurent Tchagba,,,,,,false,,,,
Q105833518,Téné Birahima Ouattara,,,,,,false,,,,
Q106777843,Adama Kamara,NormalRank,Q1515,Abidjan,true,true,true,false,true,false,false
Q107136438,Souleymane Roel Kone,NormalRank,Q1515,Abidjan,true,true,false,,,,
Q107266901,Nasseneba Touré Diané,NormalRank,Q985627,Korhogo,true,true,true,false,true,false,false
Q107466615,Belmonde Dogo,,,,,,false,,,,
Q108344978,Christophe M'Boua,,,,,,false,,,,
Q108344980,Jean-Marie Kacou Gervais,,,,,,false,,,,
Q108752418,Amédé Koffi Kouakou,,,,,,false,,,,
Q111334944,Gilbert Koné Kafana,NormalRank,Q3191849,Kagbolodougou,true,true,true,false,true,false,false
Q111901694,Vagondo Diomandé,NormalRank,Q1008,Ivory Coast,true,false,true,false,false,true,true
Q112684510,Lataille N’Guessan Koffi,NormalRank,Q2908271,Bocanda,true,true,true,false,true,false,false
Q112947515,Siandou Fofana,,,,,,false,,,,
Q112948561,Adama Diawara,NormalRank,Q1515,Abidjan,true,true,true,false,true,false,false
Q113488775,Françoise Remarck,,,,,,false,,,,
Q113528137,Jean-Luc Assi,NormalRank,Q1044225,Abengourou,true,true,true,false,true,false,false
Q113680500,Souleymane Diarrassouba,,,,,,false,,,,
Q113835506,Epiphane Zoro Bi Ballo,,,,,,false,,,,
Q114787901,Thomas Camara,,,,,,false,,,,
Q114788517,Amadou Coulibaly,,,,,,false,,,,
Q114788519,Koffi N'Guessan,,,,,,false,,,,
Q114788520,Moussa Sanogo,,,,,,false,,,,
Q114788522,Pierre Dimba,,,,,,false,,,,
Q115125638,Arlette N'Guessan Touamé,,,,,,false,,,,
