item,rank,gender,isIdentity,hasref,refitem,exurl,wmurl,wmproj
Q100980938,NormalRank,Q6581097,true,true,false,false,false,true
Q101584179,NormalRank,Q6581097,true,true,false,true,false,false
Q104437318,NormalRank,Q6581097,true,false,,,,
Q105833518,NormalRank,Q6581097,true,true,false,true,false,false
Q106777843,NormalRank,Q6581097,true,true,false,true,false,false
Q107136438,NormalRank,Q6581097,true,false,,,,
Q107266901,NormalRank,Q6581072,true,true,false,true,false,false
Q107466615,NormalRank,Q6581072,true,true,false,true,false,false
Q108344978,NormalRank,Q6581097,true,false,,,,
Q108344980,NormalRank,Q6581097,true,false,,,,
Q108752418,NormalRank,Q6581097,true,false,,,,
Q111334944,NormalRank,Q6581097,true,false,,,,
Q111901694,NormalRank,Q6581097,true,true,false,true,false,false
Q112684510,NormalRank,Q6581097,true,false,,,,
Q112947515,NormalRank,Q6581097,true,true,false,true,false,false
Q112948561,NormalRank,Q6581097,true,true,false,true,false,false
Q113488775,NormalRank,Q6581072,true,false,,,,
Q113528137,NormalRank,Q6581097,true,true,false,true,false,false
Q113680500,NormalRank,Q6581097,true,true,false,true,false,false
Q113835506,NormalRank,Q6581097,true,false,,,,
Q114787901,NormalRank,Q6581097,true,false,,,,
Q114788517,NormalRank,Q6581097,true,false,,,,
Q114788519,NormalRank,Q6581097,true,false,,,,
Q114788520,NormalRank,Q6581097,true,false,,,,
Q114788522,NormalRank,Q6581097,true,false,,,,
Q115125638,NormalRank,Q6581072,true,false,,,,
Q115125639,NormalRank,Q6581097,true,false,,,,
Q115125640,NormalRank,Q6581072,true,false,,,,
Q115125641,NormalRank,Q6581097,true,false,,,,
Q115125643,NormalRank,Q6581097,true,false,,,,
Q115125644,NormalRank,Q6581097,true,false,,,,
Q115125645,NormalRank,Q6581097,true,false,,,,
Q1304104,NormalRank,Q6581097,true,false,,,,
Q1394077,NormalRank,Q6581097,true,false,,,,
Q179242,NormalRank,Q6581097,true,true,true,true,false,false
Q179242,NormalRank,Q6581097,true,true,false,false,false,true
Q179242,NormalRank,Q6581097,true,true,true,false,false,false
Q18384617,NormalRank,Q6581097,true,true,false,false,false,true
Q1888117,NormalRank,Q6581097,true,true,true,true,false,false
Q19392607,NormalRank,Q6581097,true,false,,,,
Q21280596,NormalRank,Q6581097,true,false,,,,
Q22085045,NormalRank,Q6581072,true,true,false,true,false,false
Q24056959,NormalRank,Q6581072,true,true,false,true,false,false
Q2640305,NormalRank,Q6581097,true,false,,,,
Q27757660,NormalRank,Q6581072,true,true,false,true,false,false
Q28150377,NormalRank,Q6581097,true,false,,,,
Q2824041,NormalRank,Q6581097,true,true,false,true,false,false
Q2838739,NormalRank,Q6581097,true,false,,,,
Q2840866,NormalRank,Q6581097,true,true,false,true,false,false
Q2959525,NormalRank,Q6581097,true,false,,,,
Q30728030,NormalRank,Q6581072,true,true,false,true,false,false
Q3126401,NormalRank,Q6581097,true,true,false,true,false,false
Q313994,NormalRank,Q6581097,true,true,false,false,false,true
Q313994,NormalRank,Q6581097,true,true,true,false,false,false
Q3192595,NormalRank,Q6581072,true,true,false,true,false,false
Q3288607,NormalRank,Q6581097,true,true,false,true,false,false
Q3369176,NormalRank,Q6581097,true,true,false,false,false,false
Q3370489,NormalRank,Q6581097,true,true,false,false,false,false
Q3472182,NormalRank,Q6581097,true,false,,,,
Q3526462,NormalRank,Q6581097,true,true,false,true,false,false
Q357802,NormalRank,Q6581097,true,true,false,false,false,true
Q41675123,NormalRank,Q6581097,true,false,,,,
Q437761,NormalRank,Q6581072,true,true,true,true,false,false
Q437761,NormalRank,Q6581072,true,true,true,false,false,false
Q437761,NormalRank,Q6581072,true,true,false,false,false,true
Q44738480,NormalRank,Q6581097,true,true,false,true,false,false
Q454785,NormalRank,Q6581097,true,true,false,false,false,true
Q455728,NormalRank,Q6581097,true,true,false,false,false,true
Q4853306,NormalRank,Q6581097,true,false,,,,
Q49500308,NormalRank,Q6581072,true,true,false,true,false,false
Q514954,NormalRank,Q6581072,true,true,false,false,false,true
Q515195,NormalRank,Q6581097,true,false,,,,
Q56308663,NormalRank,Q6581097,true,false,,,,
Q59867225,NormalRank,Q6581097,true,true,false,false,false,true
Q60694641,NormalRank,Q6581097,true,false,,,,
Q60832327,NormalRank,Q6581097,true,false,,,,
Q62566689,NormalRank,Q6581097,true,true,false,true,false,false
Q63611068,NormalRank,Q6581097,true,false,,,,
Q656275,NormalRank,Q6581072,true,false,,,,
Q68770341,NormalRank,Q6581097,true,false,,,,
Q71437989,NormalRank,Q6581097,true,false,,,,
Q717915,NormalRank,Q6581097,true,true,false,true,false,false
Q90018658,NormalRank,Q6581097,true,true,false,true,false,false
Q96678215,NormalRank,Q6581097,true,true,false,true,false,false
Q971859,NormalRank,Q6581097,true,true,true,false,false,false
Q99313278,NormalRank,Q6581097,true,false,,,,
Q99314971,NormalRank,Q6581097,true,false,,,,
Q57413,NormalRank,Q6581097,true,true,true,false,false,false
Q57413,NormalRank,Q6581097,true,true,true,true,false,false
Q57867,NormalRank,Q6581097,true,false,,,,
Q58154,NormalRank,Q6581097,true,true,false,true,false,false
Q58258,NormalRank,Q6581097,true,true,false,true,false,false
