item,itemLabel,gender,position,positionLabel,startDate,endDate,source,sourceDate,psid
Q115125640,Mme CLARISSE KAYO MAHI,female,Q115125614,"Secrétaire d’Etat auprès du Ministre de l’Emploi et de la Protection Sociale, chargé de la Protection Sociale",2021-04-06,2022-04-20,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-11-08,Q115125640-CE35F296-23D0-4C44-955E-E083B09E34DC
Q115125641,M. CELESTIN SEREY DOH,male,Q115125611,"Secrétaire d’Etat auprès du Ministre des Transports, chargé des Affaires Maritimes",2021-04-06,2022-04-20,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-11-08,Q115125641-B7892EAF-442D-4D2B-83A7-71027EBEDD78
Q115125643,M. EMMANUEL ESMEL ESSIS,male,Q115125607,Ministre de la Promotion de l’Investissement et du Développement du Secteur privé,2021-04-06,2022-04-20,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-11-08,Q115125643-B97F8594-ACDA-4FF5-B3AF-13DBA1B5C8BC
Q115125644,M. FELIX ANOBLE,male,Q115125608,"Ministre de la Promotion des PME, de l’Artisanat et de la Transformation du secteur informel",2021-04-06,2022-04-20,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-11-08,Q115125644-5B9C8926-34F9-44CB-9952-F72E4A554391
Q115125645,M. ROGER FELIX ADOM,male,Q115125606,"Ministre de l’Economie Numérique, des Télécommunications et de l’Innovation",2021-04-06,2022-04-20,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-11-08,Q115125645-52269E49-55E7-4244-A4C7-17FFF7377D3D
Q18384617,Abdourahmane Cissé,male,Q115125610,Minister-Secretary General of the Presidency,2021-04-06,2022-04-20,,,Q18384617-521A401D-0743-4A1E-9B36-ED9D3CCEDF25
Q19392607,Tiémoko Meyliet Koné,male,Q27880670,Vice-President of Ivory Coast,2022-04-19,,,,Q19392607-6C588578-71CC-46E2-949C-1E22FC44E138
Q21280596,M. SIDI TIEMOKO TOURE,male,Q114787369,Ministre des Ressources Animales et Halieutiques,2021-04-05,,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-10-21,Q21280596-9B920D37-FC90-4666-BA33-9070B149A2DF
Q22085045,MME NIALE KABA,female,Q114777123,Ministre du Plan et du Développement,2016-01-13,,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-10-21,Q22085045-102455c1-47e5-854c-2fe3-aa7dfd3b9bef
Q24056959,MME MARIATOU KONE,female,Q26959537,Ministre de l’Education Nationale et de l’Alphabétisation,2021-04-06,,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-10-21,Q24056959-68B7A40B-A8F5-46FD-B8CA-661678439FBA
Q2640305,M. ALCIDE DJEDJE,male,Q115125603,"Ministre délégué auprès du Ministre d’Etat, Ministre des Affaires Etrangères de l’intégration Africaine et de la Diaspora, chargé de l’intégration Africaine",2021-04-06,2022-04-20,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-11-08,Q2640305-7F798345-C07A-4744-9152-7B92D712A2C1
Q28150377,M. ALAIN RICHARD DONWAHI,male,Q114787387,Ministre des Eaux et Forêts,2017-07-19,2022-04-20,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-11-08,Q28150377-ff6b7a27-4572-7208-6136-69f72f6e641c
Q2824041,M. ADAMA COULIBALY,male,Q97933077,Ministre de l’Economie et des Finances,2019-09-04,,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-10-21,Q2824041-5F9E3B1D-BDC5-4982-BBEF-11D7DCC3E7AD
Q30728030,MME ANNE DESIREE OULOTO,female,Q114787327,Ministre de la Fonction Publique et de la Modernisation de l’Administration,2021-04-06,,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-10-21,Q30728030-0F9CAB09-5267-489C-BD60-5F3BE30A6EF5
Q3192595,MME KANDIA KAMISSOKO CAMARA,female,Q113504776,"Ministre d’Etat, Ministre des Affaires Etrangères, de l’intégration Africaine et de la Diaspora",2021-04-06,,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-10-21,Q3192595-66EEC9A8-6862-4291-8057-D6D852E27EF4
Q3369176,PATRICK JEROME ACHI,male,Q3401763,"PREMIER MINISTRE, CHEF DU GOUVERNEMENT",2021-03-08,,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-11-08,Q3369176-76AF6F67-7515-4C5E-ABAD-BE3DAAB8D417
Q41675123,M. MAMADOU TOURE,male,Q114787390,"Ministre de la Promotion de la Jeunesse , de l’Insertion professionnelle et du Service civique, Porte-parole adjoint du Gouvernement",2018-07-10,,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-10-21,Q41675123-4DBF7E29-B768-4A4A-824A-9FA3E42D7253
Q44738480,M. BRUNO NABAGNE KONE,male,Q114791254,"Ministre de la Construction, du Logement et de l'Urbanisme",2018-07-10,,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-11-08,Q44738480-4672e579-4dae-fe13-660f-72ececa09335
Q56308663,M. PAULIN CLAUDE DANHO,male,Q114787385,Ministre de la Promotion des Sports et du Développement de l’Economie sportive,2018-07-10,,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-10-21,Q56308663-69C9624A-6C1F-4CC9-8932-DA7870D6279B
Q57413,Alassane Ouattara,male,Q3409195,President of the Ivory Coast,2010-12-04,,,,Q57413-C9FC9F18-AE11-4AA5-826C-E45ECE218472
Q59867225,M. KOBENAN KOUASSI ADJOUMANI,male,Q114777316,"Ministre d’Etat, Ministère de l’Agriculture et du Développement Rural",2019-10-04,,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-10-21,Q59867225-9DD4A02E-28E9-4F75-8B0C-FCB18AF93EF7
Q60832327,M. AMADOU KONE,male,Q114777329,Ministre des Transports,2017-01-11,,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-10-21,Q60832327-0644DFB7-4C60-470D-A3BD-200AEF25C1E6
Q62566689,M. BOUAKE FOFANA,male,Q115125415,Ministre de l’Assainissement et de la Salubrité,2021-04-06,2022-04-20,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-11-08,Q62566689-b11b4e9c-4878-41ad-5e1f-a9ad5969a870
Q90018658,M. SANSAN KAMBILE,male,Q114787380,"Garde des Sceaux, Ministre de la Justice et des Droits de l’Homme",2016-01-13,,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-10-21,Q90018658-F805500B-27CE-460B-9EDE-E2BA32CA87E0
