@@,item,itemlabel,gender,position,positionlabel,startdate,enddate,psid
---,Q18384617,Abdourahmane Cissé,male,Q115125610,Minister-Secretary General of the Presidency,2021-04-06,2022-04-20,Q18384617-521A401D-0743-4A1E-9B36-ED9D3CCEDF25
---,Q57413,Alassane Ouattara,male,Q3409195,President of the Ivory Coast,2010-12-04,,Q57413-C9FC9F18-AE11-4AA5-826C-E45ECE218472
---,Q101584179,Fidèle Sarassoro,male,Q115125609,Minister-Director of the Cabinet,2021-04-06,2022-04-20,Q101584179-ABA89897-E4E4-481C-9DFF-548C00C9D4BF
---,Q111334944,Gilbert Koné Kafana,male,Q115125604,Minister for Relations with the Institutions of the Republic,2021-04-06,2022-04-20,Q111334944-9095ADBF-FF89-4561-BAD6-F7FD44581967
---,Q19392607,Tiémoko Meyliet Koné,male,Q27880670,Vice-President of Ivory Coast,2022-04-19,,Q19392607-6C588578-71CC-46E2-949C-1E22FC44E138
