item,itemLabel,position,positionLabel,start,psid
Q105833518,Téné Birahima Ouattara,Q114777073,Minister of Defence,2021-03-08,Q105833518-CEC56A54-FFAF-47E5-ADA0-7147DB5D7C55
Q22085045,Kaba Nialé,Q114777123,Minister of Planning and Development,2016-01-13,Q22085045-102455c1-47e5-854c-2fe3-aa7dfd3b9bef
Q2824041,Adama Coulibaly,Q97933077,Minister of the Economy and Finance of Ivory Coast,2019-09-04,Q2824041-5F9E3B1D-BDC5-4982-BBEF-11D7DCC3E7AD
Q3192595,Kandia Camara,Q113504776,Minister of Foreign Affairs of the Republic of Côte d'Ivoire,2021-04-06,Q3192595-66EEC9A8-6862-4291-8057-D6D852E27EF4
Q3369176,Patrick Achi,Q3401763,Prime Minister of Ivory Coast,2021-03-08,Q3369176-76AF6F67-7515-4C5E-ABAD-BE3DAAB8D417
