position,positionLabel,country,countryLabel,jurisdiction,jurisdictionLabel,inception,abolished,predecessor,predecessorLabel,successor,successorLabel,deputy,deputyLabel,list,listLabel
Q2961997,head of the Ivory Coast armed forces,Q1008,Ivory Coast,,,,,,,,,,,,
Q3401763,Prime Minister of Ivory Coast,Q1008,Ivory Coast,Q1008,Ivory Coast,1960-08-07,,,,,,,,Q2717151,list of heads of government of Ivory Coast
Q3402178,First Lady of Ivory Coast,Q1008,Ivory Coast,,,1960-11-03,,,,,,,,,
Q3409195,President of the Ivory Coast,Q1008,Ivory Coast,Q1008,Ivory Coast,,,,,,,,,Q878210,heads of state of Ivory Coast
Q21295981,Member of the National Assembly of Cote d'Ivoire,Q1008,Ivory Coast,Q1008,Ivory Coast,,,,,,,,,,
Q26951571,ambassador of Ivory Coast to Morocco,Q1008,Ivory Coast,,,,,,,,,,,,
Q26959537,Minister of Education,Q1008,Ivory Coast,Q1008,Ivory Coast,,,,,,,,,,
Q26959555,ambassador of Ivory Coast to France,Q1008,Ivory Coast,,,,,,,,,,,,
Q26959610,Minister of African Integration,,,Q1008,Ivory Coast,,,,,,,,,,
Q27880670,Vice-President of Ivory Coast,Q1008,Ivory Coast,,,1980-01-01,1985-01-01,,,,,,,,
Q29971577,ambassador of Ivory Coast,Q1008,Ivory Coast,,,,,,,,,,,,
Q33199060,Ivorian Ambassador to the United States,Q1008,Ivory Coast,,,,,,,,,,,,
Q38251161,Ivorian Ambassador to China,Q1008,Ivory Coast,,,,,,,,,,,,
Q40338324,ambassador of Ivory Coast to Canada,Q1008,Ivory Coast,,,,,,,,,,,,
Q79897138,Minister of Culture and the Francophonie,,,,,,,,,,,,,,
Q79897351,Minister of Urban Development and Sanitation,,,Q1008,Ivory Coast,,,,,,,,,,
Q97933077,Minister of the Economy and Finance of Ivory Coast,Q1008,Ivory Coast,,,,,,,,,,,,
Q105887560,Mayor of Abobo,Q1008,Ivory Coast,Q322624,Abobo,,,,,,,,,,
Q112306743,ambassadeur de Côte d'Ivoire au Gabon,,,,,,,,,,,,,,
Q113504776,Minister of Foreign Affairs of the Republic of Côte d'Ivoire,,,Q1008,Ivory Coast,,,,,,,,,Q109315264,Ivory coast foreign minister list
Q114777073,Minister of Defence,,,Q1008,Ivory Coast,,,,,,,,,,
Q114777075,Minister of Presidential Affairs,Q1008,Ivory Coast,Q1008,Ivory Coast,,,,,,,,,,
Q114777123,Minister of Planning and Development,Q1008,Ivory Coast,Q1008,Ivory Coast,,,,,,,,,,
Q114777316,Minister of Agriculture of Côte d'Ivoire,,,Q1008,Ivory Coast,,,,,,,,,,
Q114777321,Minister of Health,,,Q1008,Ivory Coast,,,,,,,,,,
Q114777323,Minister of Higher Education and Scientific Research,,,Q1008,Ivory Coast,,,,,,,,,,
Q114777325,Minister of Tourism and Leisure,,,Q1008,Ivory Coast,,,,,,,,,,
Q114777329,Minister of Transport,,,Q1008,Ivory Coast,,,,,,,,,,
Q114777330,Minister of the Interior,,,Q1008,Ivory Coast,,,,,,,,,,
Q114777332,Minister of the Environment and Sustainable Development,,,Q1008,Ivory Coast,,,,,,,,,,
Q114777487,President of the National Assembly of the Ivory Coast,,,,,,,,,,,,,,
Q114787327,Minister of Public Service and Modernization of Administration,,,Q1008,Ivory Coast,,,,,,,,,,
Q114787369,Minister of Animal and Fisheries Resources,Q1008,Ivory Coast,Q1008,Ivory Coast,,,,,,,,,,
Q114787371,Minister of Budget,Q1008,Ivory Coast,Q1008,Ivory Coast,,,,,,,,,,
Q114787372,"Minister of Commerce, Industry and the Promotion of SMEs",Q1008,Ivory Coast,Q1008,Ivory Coast,,,,,,,,,,
Q114787373,Minister of Communication and Digital Economy,Q1008,Ivory Coast,Q1008,Ivory Coast,,,,,,,,,,
Q114787374,Minister of Employment and Social Protection,Q1008,Ivory Coast,Q1008,Ivory Coast,,,,,,,,,,
Q114787375,Minister of Equipment and Road Maintenance,Q1008,Ivory Coast,Q1008,Ivory Coast,,,,,,,,,,
Q114787378,Minister of Good Governance and the Fight against Corruption,Q1008,Ivory Coast,Q1008,Ivory Coast,,,,,,,,,,
Q114787379,"Minister of Water Resources, Sanitation and Wellbeing",Q1008,Ivory Coast,Q1008,Ivory Coast,,,,,,,,,,
Q114787380,Minister of Justice and Human Rights,Q1008,Ivory Coast,Q1008,Ivory Coast,,,,,,,,,,
Q114787381,"Minister of Mines, Oil and Energy",Q1008,Ivory Coast,Q1008,Ivory Coast,,,,,,,,,,
Q114787383,Minister of Reconciliation and National Cohesion,Q1008,Ivory Coast,Q1008,Ivory Coast,,,,,,,,,,
