position,positionLabel,ofLabel,jurisdictionLabel,people,example
Q83307,minister,,<noval>,7,Q113528137
Q121998,ambassador,,,2,Q1394077
Q2571270,Chairperson of the African Union Commission,,African Union Commission,1,Q454785
Q17004820,Secretary General of the Organisation of African Unity,,,1,Q454785
Q1162163,director,Société ivoirienne de raffinage,,1,Q63611068
Q6501749,general secretary,President of the Ivory Coast,<noval>,1,Q18384617
Q42178,vice president,National Assembly,,1,Q107466615
Q16629002,directeur technique national,,,1,Q107136438
