@@,item,itemlabel,position,positionlabel,psid
->,Q114788520->Q2293680,Moussa Sanogo,Q114787371,Ministre du Budget et du Portefeuille de l’État,Q114788520-109C51DB-C3B9-4B07-86A9-0ED9A9B90E8D
---,Q19392607,Tiémoko Meyliet Koné,Q27880670,Vice-président de la République,Q19392607-6C588578-71CC-46E2-949C-1E22FC44E138
