item,itemLabel,position,positionLabel,startDate,endDate
Q57413,Alassane Ouattara,,Président de la République,2021-04-06,2022-04-20
Q3369176,Patrick Achi,,Premier ministre,2021-04-06,2022-04-20
Q3192595,Kandia Camara,,"Ministre des Affaires étrangères, de l'intégration africaine et de la Diaspora",2021-04-06,2022-04-20
Q105833518,Téné Birahima Ouattara,,Ministre de la Défense,2021-04-06,2022-04-20
Q59867225,Kobenan Kouassi Adjoumani,,Ministre de l'Agriculture et du Développement rural,2021-04-06,2022-04-20
Q90018658,Sansan Kambilé,,"Garde des Sceaux, Ministre de la Justice et des Droits de l’Homme",2021-04-06,2022-04-20
Q111901694,Vagondo Diomandé,,Ministre de l'Intérieur et de la Sécurité,2021-04-06,2022-04-20
Q28150377,Alain-Richard Donwahi,,Ministre des Eaux et Forêts,2021-04-06,2022-04-20
Q22085045,Kaba Nialé,,Ministre du Plan et du Développement,2021-04-06,2022-04-20
Q60832327,Amadou Koné,,Ministre des Transports,2021-04-06,2022-04-20
Q2824041,Adama Coulibaly,,Ministre de l'Économie et des Finances,2021-04-06,2022-04-20
Q30728030,Anne Désirée Ouloto,,Ministre de la Fonction publique et de la modernisation de l'administration,2021-04-06,2022-04-20
Q44738480,Bruno Koné,,"Ministre de la Construction, du Logement et de l’Urbanisme",2021-04-06,2022-04-20
Q2293680,Moussa Sanogo,,Ministre du Budget et du Portefeuille de l’État,2021-04-06,2022-04-20
,Laurent Tchagba,,Ministre de l’Hydraulique,2021-04-06,2022-04-20
Q108752418,Amédé Koffi Kouakou,,Ministre de l’Équipement et de l’Entretien Routier,2021-04-06,2022-04-20
Q24056959,Mariatou Koné,,Ministre de l'Éducation nationale et de l'alphabétisation,2021-04-06,2022-04-20
Q100980938,Bertin Kouadio Konan,,Ministre de la Réconciliation et de la cohésion nationale,2021-04-06,2022-04-20
Q113680500,Souleymane Diarrassouba,,Ministre du Commerce et de l’Industrie,2021-04-06,2022-04-20
Q56308663,Claude Paulin Danho,,Ministre des Sports,2021-04-06,2022-04-20
,Amadou Koulibaly,,"Ministre de la Communication, des médias et de la francophoniePorte-parole du gouvernement",2021-04-06,2022-04-20
Q41675123,Mamadou Touré,,"Ministre de la Promotion de la jeunesse et de l’Emploi des jeunes, de l'insertion professionnelle et du service civiquePorte-parole adjoint du gouvernement",2021-04-06,2022-04-20
,Emmanuel Esmel Essis,,"Ministre de la Promotion, de l’Investissement et du développement du secteur privé",2021-04-06,2022-04-20
,Félix Anoblé,,"Ministre de la Promotion des PME, de l'artisanat et de la transformation du secteur informel",2021-04-06,2022-04-20
Q21280596,Sidi Tiémoko Touré,,Ministre des ressources animales et halieutiques,2021-04-06,2022-04-20
Q112947515,Siandou Fofana,,Ministre du Tourisme et des Loisirs,2021-04-06,2022-04-20
Q113835506,Epiphane Zoro Bi Ballo,,"Ministre de la Bonne Gouvernance, du renforcement des capacités et de la lutte contre la corruption",2021-04-06,2022-04-20
,Roger Félix Adom,,"Ministre de l'Économie numérique, des télécommunications et de l'innovation",2021-04-06,2022-04-20
Q112948561,Adama Diawara,,Ministre de l’Enseignement supérieur et de la Recherche Scientifique,2021-04-06,2022-04-20
,Pierre Dimba,,"Ministre de la Santé,de l'Hygiène publique et de la couverture maladie universelle",2021-04-06,2022-04-20
,Thomas Camara,,"Ministre des Mines, du pétrole et de l'énergie",2021-04-06,2022-04-20
Q62566689,Bouaké Fofana,,Ministre de l’Assainissement et de la Salubrité,2021-04-06,2022-04-20
,Myss Belmonde Dogo,,Ministre de la Solidarité et de la Lutte contre la Pauvreté,2021-04-06,2022-04-20
Q106777843,Adama Kamara,,Ministre de l’Emploi et de la Protection sociale,2021-04-06,2022-04-20
Q107266901,Nasseneba Touré Diané,,"Ministre de la Femme, de la Famille et de l’Enfant",2021-04-06,2022-04-20
,Koffi N'Guessan,,Ministre de l’Enseignement technique et de la Formation professionnelle et de l'apprentissage,2021-04-06,2022-04-20
,Arlette N'Guessan Touamé,,Ministre de la Culture et de l'industrie des arts et des spectacles,2021-04-06,2022-04-20
Q113528137,Jean-Luc Assi,,Ministre de l’Environnement et du Développement durable,2021-04-06,2022-04-20
Q2640305,Alcide Djédjé,,"Ministre délégué, chargé de l'Intégration africaine",2021-04-06,2022-04-20
,N’Guessan Lataille Koffi,,Secrétaire d'État chargé du Logement social,2021-04-06,2022-04-20
,Brice Kouamé Kouassi,,Secrétaire d'État chargé de la Modernisation de l'administration,2021-04-06,2022-04-20
,Célestin Serey Doh,,Secrétaire d'État chargé des Affaires maritimes,2021-04-06,2022-04-20
,Clarisse Kayo Mahi,,Secrétaire d'État chargée de la Protection sociale,2021-04-06,2022-04-20
Q18384617,Abdourahmane Cissé,,"Ministre, Secrétaire général de la présidence de la République",2021-04-06,2022-04-20
Q111334944,Gilbert Koné Kafana,,"Ministre auprès du Président de la République, chargé des Relations avec les institutions de la République",2021-04-06,2022-04-20
,Fidèle Sarassoro,,"Ministre, Directeur du cabinet du Président de la République",2021-04-06,2022-04-20
