item,itemLabel,position,positionLabel,startDate,endDate,source,psid
Q100980938,Bertin Kouadio Konan,Q114787383,Ministre de la Réconciliation et de la cohésion nationale,2020-12-15,,https://fr.wikipedia.org/wiki/Gouvernement_Achi_II,Q100980938-9C152590-2431-49EC-BF7B-725BFC4AB7CB
Q101584179,Fidèle Sarassoro,Q115125609,"Ministre, Directeur du cabinet du Président de la République",2021-04-06,2022-04-20,https://fr.wikipedia.org/wiki/Gouvernement_Achi_I,Q101584179-ABA89897-E4E4-481C-9DFF-548C00C9D4BF
Q104437318,Laurent Tchagba,Q115125451,Ministre de l’Hydraulique,2021-04-06,2022-04-20,https://fr.wikipedia.org/wiki/Gouvernement_Achi_I,Q104437318-fd6ba374-48f1-b428-281f-4b7ccbc18a6d
Q105833518,Téné Birahima Ouattara,Q114777073,Ministre de la Défense,2021-03-08,,https://fr.wikipedia.org/wiki/Gouvernement_Achi_II,Q105833518-CEC56A54-FFAF-47E5-ADA0-7147DB5D7C55
Q106777843,Adama Kamara,Q114787374,Ministre de l’Emploi et de la Protection sociale,2021-04-06,,https://fr.wikipedia.org/wiki/Gouvernement_Achi_II,Q106777843-B1E229C4-AAEF-4F68-9988-1CB954C372B8
Q107266901,Nasseneba Touré Diané,Q114787389,"Ministre de la Femme, de la Famille et de l’Enfant",2021-04-06,,https://fr.wikipedia.org/wiki/Gouvernement_Achi_I,Q107266901-EECF77B9-DDA2-42C5-AE12-F9901CDBF33D
Q107466615,Myss Belmonde Dogo,Q114787384,Ministre de la Solidarité et de la Lutte contre la Pauvreté,2021-04-06,,https://fr.wikipedia.org/wiki/Gouvernement_Achi_II,Q107466615-EC1D4995-F696-4040-9A96-E409956A47D0
Q108752418,Amédé Koffi Kouakou,Q114787375,Ministre de l’Équipement et de l’Entretien Routier,2017-01,,https://fr.wikipedia.org/wiki/Gouvernement_Achi_I,Q108752418-CFF9B56A-4391-4E0A-9ED6-3CD2C97C8B4D
Q111334944,Gilbert Koné Kafana,Q115125604,"Ministre auprès du Président de la République, chargé des Relations avec les institutions de la République",2021-04-06,2022-04-20,https://fr.wikipedia.org/wiki/Gouvernement_Achi_I,Q111334944-9095ADBF-FF89-4561-BAD6-F7FD44581967
Q111901694,Vagondo Diomandé,Q114777330,Ministre de l'Intérieur et de la Sécurité,2019-09-04,,https://fr.wikipedia.org/wiki/Gouvernement_Achi_II,Q111901694-D6B3C1D4-27E7-4B73-B19C-85639234F40F
