item,itemLabel,position,positionLabel,startDate,endDate,source,sourceDate,psid
Q100980938,Bertin Kouadio Konan,Q114787383,Minister of National Reconciliation and Cohesion,2020-12-15,,155,,Q100980938-9C152590-2431-49EC-BF7B-725BFC4AB7CB
Q104437318,Laurent Tchagba,Q114787387,Minister of Water and Forests,2022-04-20,,155,,Q104437318-C6C3313A-5B4B-4688-A177-CE16C1D9D82A
Q105833518,Téné Birahima Ouattara,Q114777073,"Minister of State, Minister of Defence",2021-03-08,,155,,Q105833518-CEC56A54-FFAF-47E5-ADA0-7147DB5D7C55
Q106777843,Adama Kamara,Q114787374,Minister of Employment and Social Protection,2021-04-06,,155,,Q106777843-B1E229C4-AAEF-4F68-9988-1CB954C372B8
Q107266901,Nasseneba Touré,Q114787389,"Minister of Women, the Family and Children",2021-04-06,,155,,Q107266901-EECF77B9-DDA2-42C5-AE12-F9901CDBF33D
Q107466615,Logboh Myss Belmonde Dogo,Q114787384,Minister of Solidarity and Poverty Alleviation,2021-04-06,,155,,Q107466615-EC1D4995-F696-4040-9A96-E409956A47D0
Q108752418,Amedé Koffi Kouakou,Q114787375,Minister of Equipment and Road Maintenance,2017-01,,155,,Q108752418-CFF9B56A-4391-4E0A-9ED6-3CD2C97C8B4D
Q111901694,Gen. Vagondo Diomandé,Q114777330,Minister of the Interior and Security,2019-09-04,,155,,Q111901694-D6B3C1D4-27E7-4B73-B19C-85639234F40F
Q112947515,Siandou Fofana,Q114777325,Minister of Tourism,2017-01-13,,155,,Q112947515-CA81A784-A3B9-415C-8E28-6DA8C2ED7CD4
Q112948561,Adama Diawara,Q114777323,Minister of Higher Education and Scientific Research,2020-05-13,,155,,Q112948561-7005A509-3139-4E6A-8D02-84F36ABFDE2D
Q113488775,Françoise Remarck,Q79897138,Minister of Culture and Francophone Affairs,2022-04-20,,155,,Q113488775-64DEE8FE-9BFB-4A70-96B1-05EA36F6463E
Q113528137,Jean-Luc Assi,Q114777332,Minister of the Environment and Sustainable Development,2021-04-06,,155,,Q113528137-214E1507-6C8F-450D-9333-A1976DE3095A
Q113680500,Souleymane Diarrassouba,Q114787372,"Minister of Trade, Industry and the Promotion of Small and Medium-sized Enterprises",2017-01-11,,155,,Q113680500-95304bb1-4589-d023-6962-d5910ab988a5
Q113835506,Epiphane Zoro Bi Ballo,Q114787378,Minister of the Promotion of Good Governance and the Fight against Corruption,2021-04-06,,155,,Q113835506-93341E5F-B215-4947-82B1-E970D471194B
Q114788517,Amadou Coulibaly,Q114787373,"Minister of Communication and the Digital Economy, Government Spokesperson",2022-04-20,,155,,Q114788517-60837950-6B8F-49EA-9CA0-C5B1412C5B92
Q114788519,Koffi N’Guessan,Q114787386,"Minister of Technical Education, Professional Training and Apprenticeships",2022-04-20,,155,,Q114788519-52BB9883-E561-4144-A3CA-71B8DB46BD68
Q114788520,Moussa Sanogo,Q114787371,Minister of the Budget and the State Portfolio,2021-04-06,,155,,Q114788520-109C51DB-C3B9-4B07-86A9-0ED9A9B90E8D
Q114788522,Pierre Dimba,Q114777321,"Minister of Health, Public Hygiene and Universal Health Coverage",2022-04-20,,155,,Q114788522-CE4428D1-B958-4552-A8FB-5BB9B37FA588
Q19392607,Tiémoko Meyliet Koné,Q27880670,Vice-President,2022-04-19,,155,,Q19392607-6C588578-71CC-46E2-949C-1E22FC44E138
Q21280596,Sidi Tiémoko Touré,Q114787369,Minister of Animal and Fishing Resources,2021-04-05,,155,,Q21280596-9B920D37-FC90-4666-BA33-9070B149A2DF
Q22085045,Nialé Kaba,Q114777123,Minister of Planning and Development,2016-01-13,,155,,Q22085045-102455c1-47e5-854c-2fe3-aa7dfd3b9bef
Q24056959,Mariatou Koné,Q26959537,Minister of National Education and Literacy,2021-04-06,,155,,Q24056959-68B7A40B-A8F5-46FD-B8CA-661678439FBA
Q2824041,Adama Coulibaly,Q97933077,Minister of the Economy and Finance,2019-09-04,,155,,Q2824041-5F9E3B1D-BDC5-4982-BBEF-11D7DCC3E7AD
Q30728030,Anne Désirée Ouloto,Q114787327,Minister of the Civil Service,2021-04-06,,155,,Q30728030-0F9CAB09-5267-489C-BD60-5F3BE30A6EF5
Q3192595,Kandia Kamissoko Camara,Q113504776,"Minister of State, Minister of Foreign Affairs, African Integration and the Diaspora",2021-04-06,,155,,Q3192595-66EEC9A8-6862-4291-8057-D6D852E27EF4
