wanted,position,positionid,from,start,end
Q114788227,Minister of Culture,Q79897138,Q113488775,2022-04-20,
Q108146562,Minister of Employment and Social Protection,Q114787374,Q106777843,2021-04-06,
Q114787937,Minister of the Environment and Sustainable Development,Q114777332,Q113528137,2021-04-06,
Q114788263,Minister of Public Service,Q114787327,Q30728030,2021-04-06,
Q24056959,Minister of Solidarity and the Fight against Poverty,Q114787384,Q107466615,2021-04-06,
Q24951028,"Minister of Women, Family and Children",Q114787389,Q107266901,2021-04-06,
Q3192595,Minister of Education,Q26959537,Q24056959,2021-04-06,
Q30754170,Minister of Animal and Fisheries Resources,Q114787369,Q21280596,2021-04-05,
Q1304104,Minister of Higher Education and Scientific Research,Q114777323,Q112948561,2020-05-13,
Q3472182,Minister of Agriculture,Q114777316,Q59867225,2019-10-04,
Q114787686,Minister of the Interior,Q114777330,Q111901694,2019-09-04,
Q114791272,"Minister of Construction, Housing, and Town Planning",Q114791254,Q44738480,2018-07-10,
Q21280596,Minister of Youth,Q114787390,Q41675123,2018-07-10,
Q3083782,Minister of Sports,Q114787385,Q56308663,2018-07-10,
Q114788263,Minister of Water and Forests,Q114787387,Q28150377,2017-07-19,2022-04-20
Q57413,Minister of Defence,Q114777073,Q3126401,2017-07-19,2021-03-10
Q114787765,Minister of Tourism,Q114777325,Q112947515,2017-01-13,
Q114787729,"Minister of Commerce, Industry and the Promotion of SMEs",Q114787372,Q113680500,2017-01-11,
Q114787978,Minister of Transport,Q114777329,Q60832327,2017-01-11,
Q3369176,Minister of Equipment and Road Maintenance,Q114787375,Q108752418,2017-01,
Q114787839,Minister of Justice and Human Rights,Q114787380,Q90018658,2016-01-13,
Q1304104,Minister of Planning and Development,Q114777123,Q22085045,2016-01-13,
Q115125349,Minister of Defence,Q114777073,Q28150377,2016-01-12,2017-07-19
Q114777484,Minister of Defence,Q114777073,Q313994,2011-04-11,2012-03-13
Q2093584,ambassador to France,Q26959555,Q2838739,2011-01-25,2012
Q3298556,Head of the Armed Forces,Q2961997,Q515195,2004,2011
Q16267538,Minister of the Economy and Finance,Q97933077,Q99314971,2000-01,2000-05
