id,name,relationship,relative,relativename
Q106777843,Adama Kamara,spouse,Q110903310,Nina Keita
Q179242,Laurent Gbagbo,child,Q3309729,Michel Gbagbo
Q179242,Laurent Gbagbo,spouse,Q23969469,Nady Bamba
Q179242,Laurent Gbagbo,spouse,Q437761,Simone Gbagbo
Q357802,Robert Guéï,spouse,Q656275,Rose Doudou Guéï
Q437761,Simone Gbagbo,spouse,Q179242,Laurent Gbagbo
Q455728,Charles Konan Banny,sibling,Q3172905,Jean Konan Banny
Q514954,Dominique Folloroux-Ouattara,spouse,Q57413,Alassane Ouattara
Q57413,Alassane Ouattara,sibling,Q112134202,Sita Ouattara
Q57413,Alassane Ouattara,spouse,Q514954,Dominique Folloroux-Ouattara
Q656275,Rose Doudou Guéï,spouse,Q357802,Robert Guéï
Q71437989,Charles Gomis,relative,Q3166641,Jean-Louis Billon
Q71437989,Charles Gomis,relative,Q3524536,Thierry Tanoh
