wanted,position,positionid,from,start,end
Q62566689,Minister of Health,Q112062263,Q30728030,2017-01-10,2021-03-24
Q114777314,Minister of African Integration,Q26959610,Q2838739,2012-06-04,2020-05-13
Q17981543,Minister of African Integration,Q26959610,Q96678215,2011-06-01,2012-03-13
Q57413,Minister of Defence,Q114777073,Q313994,2011-04-11,2012-03-13
