@@,item,itemlabel,gender,position,positionlabel,startdate,enddate,psid
---,Q57413,Alassane Ouattara,male,Q3409195,President of the Ivory Coast,2010-12-04,,Q57413-C9FC9F18-AE11-4AA5-826C-E45ECE218472
---,Q19392607,Tiémoko Meyliet Koné,male,Q27880670,Vice-President of Ivory Coast,2022-04-19,,Q19392607-6C588578-71CC-46E2-949C-1E22FC44E138
